id,car_brand,car_model,car_trim,Price_EGP,body_type,powertrain_type,Insurance_Price_EGP,Register_Price_EGP,Engine_CC,Engine_Turbo,Horsepower_HP,Max_Speed_kmh,Acceleration_0_100_sec,Number_transmission_Speeds,Transmission_Type,Fuel_Type,Number_of_Cylinders,Fuel_Tank_L,Torque_Newton_Meter,Length_mm,Width_mm,Height_mm,Ground_Clearance_mm,Wheelbase_mm,Trunk_Size_L,Origin_Country,Assembly_Country,Year,Number_of_Seats,Traction_Type,ABS,EBD,Driver_Airbag,Passenger_Airbag,Rear_Sensors,Air_Conditioning,Power_Steering,Electric_Mirrors,Remote_Keyless,Central_Locking,Cruise_Control,Sunroof,Tinted_Glass,Front_Power_Windows,Back_Power_Windows,Bluetooth,USB_Port,AUX,Alloy_Wheels,Fog_Light,Multifunction,Warranty_km,Warranty_years,Minimum_Installment,Minimum_Deposit,Fuel_Consumption_l_100_km,Side_Airbag,Power_Seats,CD_Player,Closing_Mirrors,Leather_Seats,EPS,Rear_Camera,GPS,Front_Sensors,Intelligent_Parking_System,Rear_Spoiler,Electric_Chairs,Start_Engine,ESP,Steptronic,Panoramic_Sunroof,Touch_Activated_Door_Lock,Heated_Seats,Cool_Box,Rear_Seat_Entertainment,Daytime_Running_Lights,Start_Stop_System,Tyre_Pressure_Sensor,Xenon_Headlights,Front_Camera,Immobilizer_Key,Roof_Rack,Anti_Theft_System,Alarm,Multimedia_Touch_Screen,Off_Road_Tyres,Battery_Capacity_kWh,Battery_Range_km
21,MG,mg-5,MG 5 2025 A/T / Luxury,1000000.0,sedan,Internal_Combustion_Engine,25000,10000,1500,False,120,180,12.5,,automatic_cvt,92,4,45,150,4601,1818,1489,168,2680,512,uk,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,150000.0,6.0,27979,150000,5.5,True,True,,True,True,True,True,True,,True,,True,True,True,,,True,,,,,,,,,,,True,True,True,,,
22,MG,mg-6,MG 6 2026 A/T / LUX / Black interior,1280000.0,sedan,Internal_Combustion_Engine,32000,12800,1500,True,169,190,7.0,7,automatic_dsg,95,4,50,250,4694,1848,1465,170,2715,424,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,35813,192000,6.8,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,,,,,,,,,,,,True,True,True,,,
23,MG,mg-6,MG 6 2026 A/T / LUX / Red Interior,1300000.0,sedan,Internal_Combustion_Engine,32500,13000,1500,True,169,190,7.0,7,automatic_dsg,95,4,50,250,4694,1848,1465,170,2715,424,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,36373,195000,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,True,True,True,,,
24,MG,mg-7,MG 7 2026 A/T / luxury,1590000.0,sedan,Internal_Combustion_Engine,39750,15900,1500,True,185,,,7,automatic_dsg,95,4,65,261,4884,1889,1447,,2778,,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,44487,238500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
25,MG,mg-7,MG 7 2025 Automtic /luxury,1664990.0,sedan,Internal_Combustion_Engine,41625,16650,1500,True,185,,,7,automatic_dsg,95,4,65,261,4884,1889,1447,,2778,,uk,,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,46585,249749,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
26,MG,mg-7,MG 7 2026 A/T / Trophy,1690000.0,sedan,Internal_Combustion_Engine,42250,16900,1500,True,185,,,7,automatic_dsg,95,4,65,261,4884,1889,1447,,2778,,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,47285,253500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
27,MG,zs,MG ZS 2026 Automatic / Comfort,990000.0,crossover/suv,Internal_Combustion_Engine,24750,9900,1500,False,119,,10.9,4,automatic_traditional,92,4,48,150,4314,1809,1624,,2585,495,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,27699,148500,5.8,True,,,,True,True,,,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
28,MG,zs,MG ZS 2026 Automatic / Comfort / ACC,1015000.0,crossover/suv,Internal_Combustion_Engine,25375,10150,1500,False,119,,10.9,4,automatic_traditional,92,4,48,150,4314,1809,1624,,2585,495,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,28399,152250,5.8,True,,,,True,True,,,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
29,MG,zs,MG ZS 2026 A/T / Luxury,1040000.0,crossover/suv,Internal_Combustion_Engine,26000,10400,1500,False,119,,10.9,4,automatic_traditional,92,4,48,150,4314,1809,1624,,2585,495,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,29098,156000,5.8,True,,,True,True,True,True,True,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
30,MG,zs,MG ZS 2025 Automatic / Comfort,1050000.0,crossover/suv,Internal_Combustion_Engine,26250,10500,1500,False,119,,10.9,4,automatic_traditional,92,4,48,150,4314,1809,1624,,2585,495,uk,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,29378,157500,5.8,True,,,,True,True,,,,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
