car_trim,powertrain_type
Nissan Patrol 2025 A/T / LE T2 SR RSE,Internal_Combustion_Engine
Nissan Patrol 2025 A/T /  LE Titanium,Internal_Combustion_Engine
Nissan Patrol 2025 A/T / LE PLT City,Internal_Combustion_Engine
Renault Taliant 2026 A/T / Evolution,Internal_Combustion_Engine
Renault Taliant 2026 A/T / Techno,Internal_Combustion_Engine
Renault Taliant 2025 A/T / Evolution,Internal_Combustion_Engine
Renault Taliant 2025 A/T / Techno,Internal_Combustion_Engine
Renault Taliant A/T / Techno 2025,Internal_Combustion_Engine
Renault Taliant A/T / Evolution 2025,Internal_Combustion_Engine
Renault Kardian 2026 A/T / Evolution,Internal_Combustion_Engine
Renault Kardian 2026 A/T / Techno,Internal_Combustion_Engine
Renault Kardian 2026 A/T / Iconic,Internal_Combustion_Engine
Renault Kardian 2025 A/T / Evolution,Internal_Combustion_Engine
Renault Kardian 2025 A/T / Techno,Internal_Combustion_Engine
Renault Kardian 2025 A/T / Iconic,Internal_Combustion_Engine
Renault Kardian A/T / Iconic,Internal_Combustion_Engine
Renault Megane 2026 A/T / Dynamic,Internal_Combustion_Engine
Renault Megane 2026 A/T / Signature,Internal_Combustion_Engine
Renault Megane 2026 A/T / Signature Turbo,Internal_Combustion_Engine
Renault Megane 2025 A/T / Dynamic,Internal_Combustion_Engine
Renault Megane 2025 A/T / Signature,Internal_Combustion_Engine
Renault Megane 2025 A/T / Signature Turbo,Internal_Combustion_Engine
Renault Megane A/T / Signature Turbo 2026,Internal_Combustion_Engine
Renault Megane A/T / Signature 2026,Internal_Combustion_Engine
Renault Megane A/T / Dynamic 2026,Internal_Combustion_Engine
Renault Megane A/T / Signature 2025,Internal_Combustion_Engine
Renault Megane A/T / Dynamic 2025,Internal_Combustion_Engine
Renault Megane A/T / Signature Turbo 2025,Internal_Combustion_Engine
Renault Duster 2026 A/T / H1,Internal_Combustion_Engine
Renault Duster 2026 A/T / H2,Internal_Combustion_Engine
Renault Duster 2026 A/T / H3,Internal_Combustion_Engine
Renault Duster A/T / H3 2026,Internal_Combustion_Engine
Renault Duster A/T / H2 2026,Internal_Combustion_Engine
Renault Duster A/T / H1 2026,Internal_Combustion_Engine
Renault Duster 2025 A/T / H1,Internal_Combustion_Engine
Renault Duster 2025 A/T / H2,Internal_Combustion_Engine
Renault Duster 2025 A/T / H3,Internal_Combustion_Engine
Renault Austral 2026 A/T / Evolution,Internal_Combustion_Engine
Renault Austral 2026 A/T / Techno,Internal_Combustion_Engine
Renault Austral 2026 A/T / Iconic,Internal_Combustion_Engine
Renault Austral 2026 A/T /  Esprit Alpine,Internal_Combustion_Engine
Renault Austral 2026 A/T / Esprit Alpine / B/E,Internal_Combustion_Engine
Renault Austral 2025 A/T / Evolution,Internal_Combustion_Engine
Renault Austral 2025 A/T / Techno,Internal_Combustion_Engine
Renault Austral 2025 A/T / Iconic,Internal_Combustion_Engine
Renault Austral 2025 A/T /  Esprit Alpine,Internal_Combustion_Engine
Renault Austral 2025 A/T / Esprit Alpine / B/E,Internal_Combustion_Engine
MG 5 2026 A/T / Luxury,Internal_Combustion_Engine
MG 5 2025 A/T / Standard,Internal_Combustion_Engine
MG 5 2025 A/T / Luxury,Internal_Combustion_Engine
MG 5 A/T / Luxury 2025,Internal_Combustion_Engine
MG 5 A/T / Standard 2025,Internal_Combustion_Engine
MG ZS 2026 Automatic / Comfort,Internal_Combustion_Engine
MG ZS 2026 Automatic / Comfort / ACC,Internal_Combustion_Engine
MG ZS 2026 A/T / Luxury,Internal_Combustion_Engine
MG ZS 2025 Automatic / Comfort,Internal_Combustion_Engine
MG ZS 2025 Automatic / Comfort / ACC,Internal_Combustion_Engine
MG ZS 2025 A/T / Luxury,Internal_Combustion_Engine
MG ZS A/T / Luxury 2025,Internal_Combustion_Engine
MG ZS Automatic / Comfort / ACC 2025,Internal_Combustion_Engine
MG ZS Automatic / Comfort 2025,Internal_Combustion_Engine
MG ZS 2026 A/T / Luxury,Internal_Combustion_Engine
MG MG 4 2026 AT / Standard,Electric
MG MG 4 2026 A/T / Luxury,Electric
MG MG 4 2025 AT / Standard,Electric
MG MG 4 2025 A/T / Luxury,Electric
